,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,player_id_y,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
0,0,0,0,0,0,Abrams,CJ,682928.0,---,,SS,-7.0,-9.0,-4.0,-1.0,-6.0,1.0,-7.0,-1.0,74%,76%,-2%,682928.0,120.0,WSH,SS,21.0,130.0,24.0,4.21,29.0,,,,,,,,,,,
1,1,1,1,1,1,Abreu,Jose,547989.0,White Sox,,1B,0.0,1.0,-2.0,2.0,1.0,0.0,0.0,1.0,73%,72%,1%,547989.0,145.0,CWS,1B,35.0,233.0,,4.65,26.0,,,,,,,,,,,
2,2,2,2,2,2,Acuna Jr.,Ronald,660670.0,Braves,,RF,-6.0,-7.0,0.0,-2.0,-4.0,-1.0,-5.0,-2.0,87%,91%,-4%,660670.0,144.0,ATL,RF,24.0,179.0,25.0,4.27,28.5,660670.0,2022.0,-7.0,37.1,-1.0,-1.2,0.8,-1.3,32.0,35.0,13.0
3,3,3,3,3,3,Adames,Willy,642715.0,Brewers,,SS,7.0,10.0,8.0,6.0,-5.0,1.0,7.0,2.0,78%,76%,2%,642715.0,158.0,MIL,SS,26.0,157.0,1.0,4.41,27.8,,,,,,,,,,,
4,4,4,4,4,4,Adams,Riley,656180.0,Nationals,,1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100%,83%,17%,656180.0,120.0,WSH,C,26.0,44.0,,4.62,26.7,,,,,,,,,,,
5,5,5,5,5,5,Adell,Jo,666176.0,Angels,,LF,-3.0,-3.0,1.0,-3.0,-1.0,-1.0,-5.0,2.0,86%,88%,-2%,666176.0,108.0,LAA,LF,23.0,87.0,27.0,4.31,29.8,666176.0,2022.0,-3.0,47.5,-0.3,-2.2,0.5,-2.0,31.6,40.0,19.0
6,6,6,6,6,6,Adrianza,Ehire,501303.0,---,,SS,-1.0,-2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,76%,78%,-2%,501303.0,144.0,ATL,3B,32.0,38.0,,4.37,26.5,,,,,,,,,,,
7,7,7,7,7,7,Aguilar,Jesus,542583.0,---,,1B,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,73%,73%,0%,542583.0,110.0,BAL,1B,32.0,120.0,,5.01,23.9,,,,,,,,,,,
8,8,8,8,8,8,Aguilar,Ryan,666922.0,Angels,,LF,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,92%,87%,5%,,,,,,,,,,,,,,,,,,,,
9,9,9,9,9,9,Ahmed,Nick,605113.0,D-backs,,SS,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,70%,66%,4%,605113.0,109.0,AZ,SS,32.0,24.0,,4.47,27.9,,,,,,,,,,,
10,10,10,10,10,10,Alberto,Hanser,593643.0,Dodgers,,2B,-3.0,-4.0,1.0,-3.0,-2.0,0.0,-2.0,-2.0,77%,80%,-3%,593643.0,119.0,LAD,2B,29.0,69.0,,4.53,26.0,,,,,,,,,,,
11,11,11,11,11,11,Albies,Ozzie,645277.0,Braves,,2B,3.0,4.0,2.0,1.0,2.0,-1.0,3.0,1.0,73%,71%,2%,645277.0,144.0,ATL,2B,25.0,88.0,3.0,4.2,27.5,,,,,,,,,,,
12,12,12,12,12,12,Alcantara,Sergio,642727.0,---,,SS,-1.0,-1.0,3.0,-4.0,-1.0,1.0,3.0,-4.0,73%,74%,-1%,642727.0,109.0,AZ,3B,25.0,79.0,,4.43,27.6,,,,,,,,,,,
13,13,13,13,13,13,Alford,Anthony,546990.0,Pirates,,LF,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,50%,93%,-43%,,,,,,,,,,,,,,,,,,,,
14,14,14,14,14,14,Allen,Greg,656185.0,Pirates,,CF,2.0,2.0,-1.0,2.0,1.0,0.0,1.0,1.0,88%,85%,3%,656185.0,134.0,PIT,LF,29.0,42.0,3.0,4.47,28.1,656185.0,2022.0,1.0,50.0,0.8,0.5,-0.5,0.9,34.9,20.0,10.0
15,15,15,15,15,15,Allen,Nick,669397.0,Athletics,,SS,7.0,9.0,-2.0,6.0,6.0,-1.0,3.0,6.0,80%,78%,2%,669397.0,133.0,OAK,SS,23.0,128.0,,4.42,27.7,,,,,,,,,,,
16,16,16,16,16,16,Almonte,Abraham,501659.0,Red Sox,,LF,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,78%,88%,-10%,501659.0,111.0,BOS,CF,33.0,12.0,,,26.1,501659.0,2022.0,-1.0,40.0,-1.2,-0.3,-0.2,-1.6,32.1,5.0,2.0
17,17,17,17,17,17,Almora Jr.,Albert,546991.0,Reds,,CF,5.0,6.0,0.0,3.0,2.0,0.0,3.0,2.0,89%,86%,3%,546991.0,113.0,CIN,RF,28.0,106.0,,4.45,27.6,546991.0,2022.0,3.0,56.8,0.8,0.4,0.3,1.5,35.4,37.0,21.0
18,18,18,18,18,18,Alonso,Pete,624413.0,Mets,,1B,-6.0,-8.0,1.0,-6.0,-3.0,1.0,-2.0,-5.0,68%,71%,-3%,624413.0,121.0,NYM,1B,27.0,183.0,,4.67,25.6,,,,,,,,,,,
