,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Chicago White Sox,93,69,0.574,--
1,1,2,Cleveland Indians,80,82,0.494,13.0
2,2,3,Detroit Tigers,77,85,0.475,16.0
3,3,4,Kansas City Royals,74,88,0.457,19.0
4,4,5,Minnesota Twins,73,89,0.451,20.0
