,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
144,144,144,144,144,144,144,144,144,145,"Friday, Sep 16",TOR,Home,BAL,W,6.0,3.0,9.0,82-63,2.0,5.5,Kikuchi,Lyles,None,2:40,N,36573.0,1.13,1,
145,145,145,145,145,145,145,145,145,146,"Saturday, Sep 17",TOR,Home,BAL,W,6.0,3.0,9.0,83-63,2.0,4.5,Berríos,Bradish,Romano,3:00,D,44448.0,0.95,2,
146,146,146,146,146,146,146,146,146,147,"Sunday, Sep 18",TOR,Home,BAL,L,4.0,5.0,9.0,83-64,2.0,5.5,Krehbiel,Romano,Bautista,3:18,D,41301.0,0.91,-1,
147,147,147,147,147,147,147,147,147,148,"Tuesday, Sep 20",TOR,@,PHI,W,18.0,11.0,9.0,84-64,2.0,5.5,Pop,Gibson,None,3:41,N,21129.0,0.7,1,
148,148,148,148,148,148,148,148,148,149,"Wednesday, Sep 21",TOR,@,PHI,L-wo,3.0,4.0,10.0,84-65,2.0,6.5,Bellatti,Cimber,None,4:08,N,29363.0,0.63,-1,
149,149,149,149,149,149,149,149,149,150,"Thursday, Sep 22",TOR,@,TBR,L,5.0,10.0,9.0,84-66,2.0,7.5,Yarbrough,Berríos,None,3:30,N,8799.0,0.71,-2,
150,150,150,150,150,150,150,150,150,151,"Friday, Sep 23",TOR,@,TBR,L,6.0,10.0,9.0,84-67,2.0,8.5,Guerra,Garcia,None,3:21,N,17407.0,0.8,-3,
151,151,151,151,151,151,151,151,151,152,"Saturday, Sep 24",TOR,@,TBR,W,3.0,1.0,9.0,85-67,2.0,8.5,Manoah,Rasmussen,Romano,3:18,N,22169.0,1.02,1,
152,152,152,152,152,152,152,152,152,153,"Sunday, Sep 25",TOR,@,TBR,W,7.0,1.0,9.0,86-67,2.0,8.5,Stripling,McClanahan,None,3:04,D,16394.0,0.77,2,
153,153,153,153,153,153,153,153,153,154,"Monday, Sep 26",TOR,Home,NYY,W-wo,3.0,2.0,10.0,87-67,2.0,7.5,Mayza,Schmidt,None,3:29,N,34307.0,0.46,3,
154,154,154,154,154,154,154,154,154,155,"Tuesday, Sep 27",TOR,Home,NYY,L,2.0,5.0,9.0,87-68,2.0,8.5,Taillon,Berríos,Trivino,2:55,N,40528.0,0.38,-1,
155,155,155,155,155,155,155,155,155,156,"Wednesday, Sep 28",TOR,Home,NYY,L,3.0,8.0,9.0,87-69,2.0,9.5,Cole,Mayza,None,3:20,N,37008.0,0.49,-2,
156,156,156,156,156,156,156,156,156,157,"Friday, Sep 30",TOR,Home,BOS,W,9.0,0.0,9.0,88-69,2.0,8.5,Manoah,Pivetta,Kikuchi,3:04,N,37283.0,0.57,1,
157,157,157,157,157,157,157,157,157,158,"Saturday, Oct 1",TOR,Home,BOS,W,10.0,0.0,9.0,89-69,2.0,8.5,Stripling,Bello,None,3:09,D,44612.0,0.55,2,
158,158,158,158,158,158,158,158,158,159,"Sunday, Oct 2",TOR,Home,BOS,W,6.0,3.0,9.0,90-69,2.0,7.5,Pop,Wacha,Romano,2:50,D,43877.0,0.56,3,
159,159,159,159,159,159,159,159,159,160,"Monday, Oct 3",TOR,@,BAL,W,5.0,1.0,8.0,91-69,2.0,7.5,Berríos,Kremer,Mayza,2:16,N,10642.0,0.27,4,
160,160,160,160,160,160,160,160,160,161,"Wednesday, Oct 5 (1)",TOR,@,BAL,L,4.0,5.0,9.0,91-70,2.0,7.0,Hall,White,Baker,2:46,D,,0.01,-1,
161,161,161,161,161,161,161,161,161,162,"Wednesday, Oct 5 (2)",TOR,@,BAL,W,5.0,1.0,9.0,92-70,2.0,7.0,Kikuchi,Cano,None,3:04,D,17248.0,0.0,1,
