,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
0,0,Corbin Burnes,MIL,31.162353605031967,26.33865702152252,149.07897672057152,152.74857568740845,30.110244274139404,11.430430456995964,3.0972252041101456,1.6158525813370943,6.909628987312317,0.1273164435625076,0.767443560063839,7.832183931022882,3.311938744783401,2.237968573793769,4.43412810832262,1.8270186355710032,5.130757641792297,4.073266072869301,4.155460555553436,1.6044859266281124
1,1,Zack Wheeler,PHI,36.54166781902313,29.67574667930603,162.85084894299507,152.74864959716797,42.33703136444092,9.294714823365211,2.831813970208168,1.9503819979727268,6.313290238380432,0.1502781308293342,0.7706630304455757,7.832183931022882,3.2737767711281776,2.5431634784489874,4.43412810832262,2.431780546456576,5.2303316116333,4.086985571980477,4.163109772801399,1.6044859266281124
2,2,Nathan Eovaldi,BOS,35.087582767009735,29.59557169675827,162.8503662765026,152.74863481521606,39.79602670669556,8.27910415828228,2.891145452857017,2.2676613572984934,6.215382099151611,0.1712548457682133,0.8591151237487793,7.832183931022882,3.6858840107917774,2.8334044945240024,4.43412810832262,2.8284086173772813,5.115483444929122,3.5885226327180866,4.151227340698242,1.4070626497268677
3,3,Walker Buehler,LAD,34.9229801595211,29.67300671339035,162.85070922374726,152.74864959716797,41.72146964073181,8.20895366370678,3.079119086265564,2.210897784680128,5.410045087337494,0.1342214963138103,0.7721284031867981,7.832183931022882,3.3295874923467634,2.861062384471297,4.43412810832262,2.942792038917542,5.159375435113906,4.083414843678475,4.158557274937629,1.6044859266281124
4,4,Max Scherzer,- - -,33.93210080265999,28.35069090127945,161.4907709777355,152.74862003326416,30.5314279794693,11.051871255040169,2.8948885828256605,2.729552786797285,7.2002516984939575,0.1182314337193966,0.7336017787456512,7.832183931022882,3.293082922697067,2.905396432876587,4.43412810832262,2.1119747726619247,5.099342215061187,4.079813017845154,4.155187427401542,1.6044859266281124
5,5,Gerrit Cole,NYY,35.86012414097786,29.49890774488449,162.85011224150657,152.74864959716797,38.44316077232361,10.605348631739616,2.942978364229202,2.827035963535309,6.57892656326294,0.1447745273411274,0.7870582342147827,7.832183931022882,3.507077859342098,2.828796747773886,4.43412810832262,2.2197694920003417,5.15584196448326,4.080261188149453,4.155721737742423,1.6044844746589657
6,6,Julio Urias,LAD,33.99396649003029,29.10573935508728,162.84987090826036,152.74862003326416,36.59271121025085,8.33594211190939,2.9866560995578766,2.387133250012994,5.733277559280396,0.1450075191259384,0.7923323661088943,7.832183931022882,3.5318273931741717,3.0022915755212307,4.43412810832262,2.93558690905571,5.080557882785796,4.051701459288598,4.152616330385208,1.604485442638397
7,7,Carlos Rodon,CHW,34.40578803420067,20.487004458904263,129.8305545449257,152.74714183807373,28.73496186733246,10.99302788078785,3.5599618613719937,2.2796460539102554,5.946217060089111,0.1243393329381942,0.7981804013252258,7.832183931022882,3.477264583110809,2.8415936943888664,4.43412810832262,2.32509543299675,4.391713124513625,3.919561951160431,4.104871031641959,1.604483022689819
8,8,Jacob deGrom,NYM,33.1994409263134,6.977634966373444,70.59057785570621,118.5666127204895,6.802548885345459,13.214123860001564,2.611144557595253,1.903334425762296,7.60386997461319,0.0986119491010904,0.678351640701294,7.832183931022882,3.106607933342457,2.219474695697427,4.43412810832262,1.4101061968505384,4.164359647035599,3.725354209542275,3.898938921093941,1.6044651150703426
9,9,Kevin Gausman,SFG,35.668127596378326,29.501911282539368,162.8502265572548,152.74864959716797,42.09987473487854,9.349682539701462,3.302140688896179,2.50242305919528,5.951585233211517,0.1430527218282223,0.8139609172940254,7.832183931022882,3.480095265805721,2.917908421605825,4.43412810832262,2.6797522871196278,5.081933623552321,4.042778906822205,4.153929300308227,1.6044844746589657
10,10,Brandon Woodruff,MIL,33.94364449381828,28.27594667673111,159.3203213751316,152.74859046936035,36.10070168972016,9.33532353490591,3.1169906973838803,2.1328079849481583,5.872609734535217,0.1337405643761158,0.7870775833725929,7.832183931022882,3.390160609781742,2.7742267560958864,4.43412810832262,2.516577064394951,5.012645655870436,3.9903045666217807,4.151444540023803,1.604473826885223
11,11,Charlie Morton,ATL,35.12021988630295,28.958544373512268,162.84962957501412,152.74863481521606,44.1221091747284,9.75454093515873,3.9587201088666912,2.203507812693715,5.013372123241425,0.1428746434301138,0.8587188571691513,7.832183931022882,3.6497838646173473,3.0857160576432947,4.43412810832262,2.769226870238781,4.892767971754073,3.768790753483772,4.150132656097412,1.6038891673088072
12,12,Dylan Cease,CHW,35.575300097465515,29.03914225101471,162.79581226110457,152.74864959716797,50.790000677108765,11.019875049591064,4.631772100925446,2.8426544666290283,4.184299975633621,0.1577718650251627,0.9383561313152312,7.832183931022882,4.020178033411503,3.212438554763794,4.43412810832262,3.0409660837054253,4.479503327608108,3.5923079949617387,3.755201837420463,1.1301561617851257
