,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Texas Rangers,88,74,0.543,--
1,1,2,Houston Astros,86,76,0.531,2.0
2,2,3,Los Angeles Angels of Anaheim,85,77,0.525,3.0
3,3,4,Seattle Mariners,76,86,0.469,12.0
4,4,5,Oakland Athletics,68,94,0.42,20.0
