,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,St. Louis Cardinals,91,71,0.562,--
1,1,2,Milwaukee Brewers,89,73,0.549,2.0
2,2,3,Chicago Cubs,84,78,0.519,7.0
3,3,4,Cincinnati Reds,75,87,0.463,16.0
4,4,5,Pittsburgh Pirates,69,93,0.426,22.0
