,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Los Angeles Dodgers,91,71,0.562,--
1,1,2,San Francisco Giants,87,75,0.537,4.0
2,2,3,Colorado Rockies,75,87,0.463,16.0
3,3,4,Arizona Diamondbacks,69,93,0.426,22.0
4,4,5,San Diego Padres,68,94,0.42,23.0
