,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Cleveland Guardians,92,70,0.568,--
1,1,2,Chicago White Sox,81,81,0.5,11.0
2,2,3,Minnesota Twins,78,84,0.481,14.0
3,3,4,Detroit Tigers,66,96,0.407,26.0
4,4,5,Kansas City Royals,65,97,0.401,27.0
