,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Cleveland Indians,102,60,0.63,--
1,1,2,Minnesota Twins,85,77,0.525,17.0
2,2,3,Kansas City Royals,80,82,0.494,22.0
3,3,4,Chicago White Sox,67,95,0.414,35.0
4,4,5,Detroit Tigers,64,98,0.395,38.0
