,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Toronto Blue Jays,93,69,0.574,--
1,1,2,New York Yankees,87,75,0.537,6.0
2,2,3,Baltimore Orioles,81,81,0.5,12.0
3,3,4,Tampa Bay Rays,80,82,0.494,13.0
4,4,5,Boston Red Sox,78,84,0.481,15.0
