,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Houston Astros,95,67,0.586,--
1,1,2,Seattle Mariners,90,72,0.556,5.0
2,2,3,Oakland Athletics,86,76,0.531,9.0
3,3,4,Los Angeles Angels,77,85,0.475,18.0
4,4,5,Texas Rangers,60,102,0.37,35.0
