,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Los Angeles Dodgers,106,56,0.654,--
1,1,2,Arizona Diamondbacks,85,77,0.525,21.0
2,2,3,San Francisco Giants,77,85,0.475,29.0
3,3,4,Colorado Rockies,71,91,0.438,35.0
4,4,5,San Diego Padres,70,92,0.432,36.0
