,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Chicago Cubs,34,26,0.567,--
1,1,2,St. Louis Cardinals,30,28,0.517,3.0
2,2,3,Cincinnati Reds,31,29,0.517,3.0
3,3,4,Milwaukee Brewers,29,31,0.483,5.0
4,4,5,Pittsburgh Pirates,19,41,0.317,15.0
