,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,New York Yankees,103,59,0.636,--
1,1,2,Tampa Bay Rays,96,66,0.593,7.0
2,2,3,Boston Red Sox,84,78,0.519,19.0
3,3,4,Toronto Blue Jays,67,95,0.414,36.0
4,4,5,Baltimore Orioles,54,108,0.333,49.0
