,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Atlanta Braves,35,25,0.583,--
1,1,2,Miami Marlins,31,29,0.517,4.0
2,2,3,Philadelphia Phillies,28,32,0.467,7.0
3,3,4,New York Mets,26,34,0.433,9.0
4,4,5,Washington Nationals,26,34,0.433,9.0
