,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Milwaukee Brewers,96,67,0.589,--
1,1,2,Chicago Cubs,95,68,0.583,1.0
2,2,3,St. Louis Cardinals,88,74,0.543,7.5
3,3,4,Pittsburgh Pirates,82,79,0.509,13.0
4,4,5,Cincinnati Reds,67,95,0.414,28.5
