,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,St. Louis Cardinals,100,62,0.617,--
1,1,2,Pittsburgh Pirates,98,64,0.605,2.0
2,2,3,Chicago Cubs,97,65,0.599,3.0
3,3,4,Milwaukee Brewers,68,94,0.42,32.0
4,4,5,Cincinnati Reds,64,98,0.395,36.0
