,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Houston Astros,106,56,0.654,--
1,1,2,Seattle Mariners,90,72,0.556,16.0
2,2,3,Los Angeles Angels,73,89,0.451,33.0
3,3,4,Texas Rangers,68,94,0.42,38.0
4,4,5,Oakland Athletics,60,102,0.37,46.0
