,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
0,0,0,0,0,0,,,,,,,,,,,,,0.0476190476190476,0.1162079510703364,0.2459016393442623,,1.0,,,,,,,,,,,
1,1,1,1,1,1,,,,,,,,,,,,,0.0952380952380951,0.0244648318042813,0.0737704918032787,,0.9764705882352942,,,,,,,,,,,
2,2,2,2,2,2,,,,,,,,,,,,,0.0952380952380951,0.581039755351682,1.0000000000000002,0.0841121495327108,0.9647058823529412,,,,,,,,,,,
3,3,3,3,3,3,,,,,,,,,,,,,0.476190476190476,0.1162079510703364,0.1393442622950819,0.0934579439252338,0.8941176470588235,,,,,,,,,,,
4,4,4,4,4,4,,,,,,,,,,,,,0.4285714285714286,0.3211009174311927,0.4344262295081967,0.2149532710280377,0.8823529411764706,,,,,,,,,,,
5,5,5,5,5,5,,,,,,,,,,,,,0.2380952380952381,0.5443425076452599,0.6639344262295083,0.1869158878504673,0.8823529411764706,,,,,,,,,,,
6,6,6,6,6,6,,,,,,,,,,,,,0.1904761904761904,0.4311926605504587,0.6475409836065574,0.0467289719626173,0.8705882352941177,,,,,,,,,,,
7,7,7,7,7,7,,,,,,,,,,,,,0.476190476190476,0.0795107033639143,0.1065573770491803,0.1495327102803738,0.8705882352941177,,,,,,,,,,,
8,8,8,8,8,8,,,,,,,,,,,,,0.1904761904761904,0.1009174311926605,0.1721311475409836,0.1401869158878508,0.8705882352941177,,,,,,,,,,,
9,9,9,9,9,9,,,,,,,,,,,,,0.5238095238095237,0.036697247706422,0.0163934426229508,0.3177570093457946,0.8588235294117648,,,,,,,,,,,
10,10,10,10,10,10,,,,,,,,,,,,,0.1428571428571428,0.6146788990825688,0.5901639344262295,0.2056074766355142,0.8588235294117648,,,,,,,,,,,
11,11,11,11,11,11,,,,,,,,,,,,,0.2380952380952381,0.6972477064220184,0.4426229508196721,0.0654205607476634,0.8588235294117648,,,,,,,,,,,
12,12,12,12,12,12,,,,,,,,,,,,,0.5238095238095237,0.2507645259938838,0.2131147540983606,0.3271028037383177,0.8470588235294119,,,,,,,,,,,
13,13,13,13,13,13,,,,,,,,,,,,,0.3809523809523809,0.2354740061162079,0.2131147540983606,0.2056074766355142,0.8470588235294119,,,,,,,,,,,
14,14,14,14,14,14,,,,,,,,,,,,,0.0952380952380951,0.036697247706422,0.0245901639344262,,0.8470588235294119,,,,,,,,,,,
15,15,15,15,15,15,,,,,,,,,,,,,0.2857142857142858,0.8318042813455657,0.7459016393442623,0.1588785046728977,0.8470588235294119,,,,,,,,,,,
16,16,16,16,16,16,,,,,,,,,,,,,0.2380952380952381,0.6483180428134557,0.4344262295081967,0.1962616822429912,0.8470588235294119,,,,,,,,,,,
17,17,17,17,17,17,,,,,,,,,,,,,0.1904761904761904,0.3700305810397554,0.221311475409836,0.2056074766355142,0.835294117647059,,,,,,,,,,,
18,18,18,18,18,18,,,,,,,,,,,,,0.476190476190476,0.290519877675841,0.2786885245901639,0.1028037383177569,0.835294117647059,,,,,,,,,,,
19,19,19,19,19,19,,,,,,,,,,,,,0.1904761904761904,0.1559633027522935,0.0901639344262295,0.3831775700934576,0.835294117647059,,,,,,,,,,,
20,20,20,20,20,20,,,,,,,,,,,,,0.2380952380952381,0.0886850152905198,0.040983606557377,0.1869158878504673,0.8235294117647056,,,,,,,,,,,
21,21,21,21,21,21,,,,,,,,,,,,,0.4285714285714286,0.1559633027522935,0.1393442622950819,0.1121495327102803,0.8235294117647056,,,,,,,,,,,
22,22,22,22,22,22,,,,,,,,,,,,,0.2380952380952381,0.165137614678899,0.1639344262295081,0.1495327102803738,0.8117647058823532,,,,,,,,,,,
23,23,23,23,23,23,,,,,,,,,,,,,0.3333333333333332,0.0428134556574923,0.0327868852459016,,0.8117647058823532,,,,,,,,,,,
24,24,24,24,24,24,,,,,,,,,,,,,0.6666666666666667,0.4128440366972477,0.2868852459016393,0.1401869158878508,0.7999999999999998,,,,,,,,,,,
25,25,25,25,25,25,,,,,,,,,,,,,0.2380952380952381,0.0489296636085627,0.0245901639344262,,0.7999999999999998,,,,,,,,,,,
26,26,26,26,26,26,,,,,,,,,,,,,0.2857142857142858,0.1498470948012232,0.0163934426229508,0.3084112149532707,0.7999999999999998,,,,,,,,,,,
27,27,27,27,27,27,,,,,,,,,,,,,0.3333333333333332,0.0428134556574923,0.0245901639344262,,0.7999999999999998,,,,,,,,,,,
28,28,28,28,28,28,,,,,,,,,,,,,0.0476190476190476,0.0152905198776758,0.0327868852459016,,0.7882352941176474,,,,,,,,,,,
29,29,29,29,29,29,,,,,,,,,,,,,0.3809523809523809,0.7400611620795108,0.1639344262295081,0.2803738317757016,0.7882352941176474,,,,,,,,,,,
30,30,30,30,30,30,,,,,,,,,,,,,0.1904761904761904,0.691131498470948,0.1475409836065573,0.3738317757009346,0.7882352941176474,,,,,,,,,,,
31,31,31,31,31,31,,,,,,,,,,,,,0.3809523809523809,0.0030581039755351,,,0.7882352941176474,,,,,,,,,,,
