,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Los Angeles Dodgers,111,51,0.685,--
1,1,2,San Diego Padres,89,73,0.549,22.0
2,2,3,San Francisco Giants,81,81,0.5,30.0
3,3,4,Arizona Diamondbacks,74,88,0.457,37.0
4,4,5,Colorado Rockies,68,94,0.42,43.0
