,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
0,0,Shane Bieber,CLE,0.39777952,0.84142107,0.76282984,0.615922,0.40857574,0.58254117,0.080708966,0.09394885,0.41693652,0.17617851,0.100571066,0.23206471,0.07986854,0.072278745,0.3704591,0.16583684,0.7344381,0.66646767,0.6502355,0.57567567
1,1,Yu Darvish,CHC,0.39791316,0.84507877,0.7640907,0.6159219,0.34270135,0.47128063,0.06747975,0.0888454,0.420906,0.21429516,0.10436639,0.23206471,0.083259925,0.07363671,0.3704591,0.19067727,0.73535943,0.6661247,0.6498709,0.5756756
2,2,Trevor Bauer,CIN,0.41347325,0.785989,0.7324604,0.61592185,0.38264003,0.53231096,0.07493578,0.11386129,0.37183827,0.19050863,0.101527564,0.23206471,0.08411148,0.08364252,0.3704591,0.20570709,0.72792846,0.6661347,0.64954275,0.5756756
3,3,Jacob deGrom,NYM,0.39430425,0.7516541,0.6949314,0.6159217,0.3740348,0.5750169,0.08133281,0.10775696,0.41168243,0.20145261,0.10832761,0.23206471,0.08712432,0.07667275,0.3704591,0.17538929,0.71410036,0.66230375,0.6490813,0.5756755
4,4,Dinelson Lamet,SDP,0.39644986,0.7430649,0.6723262,0.61592126,0.3602836,0.53260905,0.08648987,0.097449325,0.37807244,0.18461128,0.10621335,0.23206471,0.08697917,0.081720166,0.3704591,0.2011981,0.69347465,0.6631946,0.64885455,0.5756755
5,5,Corbin Burnes,MIL,0.4599908,0.6122573,0.6197909,0.6159144,0.4046807,0.53541684,0.105881475,0.07916282,0.2972918,0.19708987,0.11675308,0.23206471,0.090655446,0.0786048,0.3704591,0.20787323,0.66062915,0.65767026,0.6481479,0.5756753
6,6,Luis Castillo,CIN,0.42349523,0.8365737,0.73136806,0.6159214,0.4634652,0.4553098,0.09353054,0.094179265,0.335075,0.26230025,0.12641616,0.23206471,0.09696091,0.084040426,0.3704591,0.22745405,0.6766351,0.62073433,0.6335093,0.5171573
7,7,German Marquez,COL,0.4451108,0.89949745,0.76419854,0.615922,0.605292,0.32043055,0.08541191,0.09921216,0.29798666,0.28645894,0.12809995,0.23206471,0.09783815,0.086340345,0.3704591,0.30290163,0.70861363,0.6277565,0.6488791,0.47949448
8,8,Zack Greinke,HOU,0.41682446,0.84766513,0.7399288,0.61592066,0.3842469,0.38836622,0.06938926,0.113353886,0.3629014,0.2929654,0.12577456,0.23206471,0.09883942,0.08879263,0.3704591,0.2409677,0.6533708,0.5830923,0.5886683,0.49279463
9,9,Kenta Maeda,MIN,0.37429485,0.732697,0.6671738,0.6159174,0.26720142,0.47052476,0.06547156,0.1145959,0.41714382,0.19333816,0.10161671,0.23206471,0.08611653,0.08436169,0.3704591,0.18201675,0.658011,0.6576954,0.6484274,0.5756754
10,10,Dylan Bundy,LAA,0.4163483,0.7897256,0.7111539,0.6159211,0.39099592,0.4382417,0.08771496,0.09769031,0.34174046,0.2362953,0.11810159,0.23206471,0.094953224,0.08921169,0.3704591,0.24718365,0.67601764,0.63054585,0.64064157,0.5756751
11,11,Brandon Woodruff,MIL,0.3784118,0.8428291,0.74782866,0.6159217,0.42530406,0.4627169,0.0760546,0.11324744,0.36694807,0.22370096,0.111947514,0.23206471,0.09141828,0.08850639,0.3704591,0.21880402,0.6723308,0.6433007,0.6485486,0.5745051
12,12,Marco Gonzales,SEA,0.428974,0.8706806,0.7502219,0.6159213,0.2692572,0.35482347,0.05682557,0.124099314,0.41517505,0.2526903,0.109277226,0.23206471,0.093151115,0.09336318,0.3704591,0.23320246,0.68285,0.6439232,0.646848,0.57567495
13,13,Aaron Nola,PHI,0.4207654,0.8185222,0.7472298,0.61592174,0.45597723,0.49132288,0.0878226,0.11588744,0.33627412,0.23785914,0.11680607,0.23206471,0.09348327,0.08874839,0.3704591,0.21697737,0.6860966,0.63500947,0.6482611,0.5756752
14,14,Framber Valdez,HOU,0.52556944,0.8594138,0.7503426,0.6159217,0.5048836,0.3917264,0.08111257,0.09806377,0.32393122,0.28476605,0.12574485,0.23206471,0.100316145,0.08609878,0.3704591,0.2150397,0.6634562,0.6203725,0.623832,0.5201816
15,15,Lucas Giolito,CHW,0.42633066,0.8212714,0.7240789,0.6159217,0.5312009,0.52414817,0.10615234,0.12159769,0.31755665,0.2321788,0.12198789,0.23206471,0.097052254,0.093407385,0.3704591,0.24643435,0.6226614,0.62203807,0.61146915,0.5483078
16,16,Kyle Hendricks,CHC,0.4560656,0.88890976,0.7641959,0.6159218,0.36573136,0.30807748,0.05753416,0.11592557,0.39965805,0.26257446,0.108639985,0.23206471,0.08944258,0.08940793,0.3704591,0.2520935,0.72908235,0.66520983,0.6492214,0.57567525
17,17,Hyun-Jin Ryu,TOR,0.4587236,0.85331905,0.73920345,0.6110831,0.38283727,0.39710674,0.09057692,0.11901051,0.4224232,0.25895548,0.12706594,0.23206471,0.09427631,0.10903196,0.3704591,0.2673827,0.6628251,0.65182346,0.63993514,0.5192539
18,18,Zack Wheeler,PHI,0.47779322,0.79537004,0.74408245,0.6159207,0.39243254,0.2926253,0.07677222,0.07422198,0.32197532,0.261872,0.1191501,0.23206471,0.09345026,0.087250315,0.3704591,0.26612163,0.71935856,0.64291126,0.6487328,0.5756754
19,19,Tony Gonsolin,LAD,0.38463685,0.40727255,0.477839,0.4880704,0.18701403,0.39040342,0.07755562,0.08519392,0.34548068,0.21957868,0.114535786,0.23206471,0.09247841,0.081892245,0.3704591,0.23999701,0.5496717,0.58193463,0.5337563,0.56957716
20,20,Dallas Keuchel,CHW,0.4288372,0.7314404,0.6749313,0.5906138,0.34881717,0.24970569,0.085525766,0.074330166,0.28328457,0.24372117,0.120305754,0.23206471,0.091442734,0.08829683,0.3704591,0.32124513,0.67814106,0.65674996,0.6473221,0.57567495
21,21,Max Scherzer,WSN,0.44314167,0.84533143,0.7639412,0.6159219,0.4938131,0.47845295,0.08840524,0.12960729,0.3245691,0.27553904,0.13057256,0.23206471,0.09760014,0.08975767,0.3704591,0.24717131,0.6515775,0.58626,0.61012954,0.55483925
22,22,Sonny Gray,CIN,0.4115916,0.6489403,0.63011116,0.6159121,0.5144663,0.46712372,0.12530127,0.09114086,0.23008725,0.24314576,0.1355094,0.23206471,0.10184413,0.088369586,0.3704591,0.25742298,0.5849688,0.593203,0.55272406,0.51377106
23,23,Pablo Lopez,MIA,0.3842257,0.70590395,0.6549702,0.6040716,0.3865866,0.37005526,0.092928044,0.09244761,0.30022666,0.25744072,0.12672935,0.23206471,0.099789284,0.09202155,0.3704591,0.28220686,0.5946936,0.56495404,0.53545034,0.5694713
24,24,Justus Sheffield,SEA,0.42044565,0.6993393,0.6158301,0.5628138,0.38877013,0.31509665,0.10079747,0.086311735,0.2682933,0.27836987,0.13746719,0.23206471,0.10480359,0.0939203,0.3704591,0.31585798,0.5459214,0.55682045,0.48408678,0.47851416
25,25,Kevin Gausman,SFG,0.44036224,0.7199361,0.64566374,0.615915,0.40382522,0.48133463,0.08700802,0.1252847,0.3407839,0.25015637,0.12313219,0.23206471,0.09950852,0.0885795,0.3704591,0.215216,0.57923275,0.58004117,0.5458772,0.52065134
