,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
26,26,26,26,26,26,26,26,26,27,"Friday, May 6",HOU,Home,DET,W,3.0,2.0,9.0,16-11,2.0,1.5,Garcia,Brieske,Montero,3:06,N,38020.0,1.12,5,
27,27,27,27,27,27,27,27,27,28,"Saturday, May 7",HOU,Home,DET,W,3.0,2.0,9.0,17-11,2.0,0.5,Abreu,Fulmer,Pressly,3:01,D,34109.0,1.13,6,
28,28,28,28,28,28,28,28,28,29,"Sunday, May 8",HOU,Home,DET,W,5.0,0.0,9.0,18-11,2.0,0.5,Odorizzi,Hutchison,None,2:44,D,36934.0,1.15,7,
29,29,29,29,29,29,29,29,29,30,"Tuesday, May 10",HOU,@,MIN,W,5.0,0.0,9.0,19-11,2.0,1.0,Verlander,Ryan,None,3:10,N,16156.0,1.25,8,
30,30,30,30,30,30,30,30,30,31,"Wednesday, May 11",HOU,@,MIN,W,11.0,3.0,9.0,20-11,1.0,Tied,Abreu,Archer,None,3:33,D,,1.28,9,
31,31,31,31,31,31,31,31,31,32,"Thursday, May 12",HOU,@,MIN,W,5.0,0.0,9.0,21-11,1.0,up 0.5,Garcia,Winder,None,3:20,D,16918.0,1.29,10,
32,32,32,32,32,32,32,32,32,33,"Friday, May 13",HOU,@,WSN,W,6.0,1.0,9.0,22-11,1.0,up 0.5,Valdez,Gray,None,2:45,N,18433.0,1.14,11,
33,33,33,33,33,33,33,33,33,34,"Saturday, May 14",HOU,@,WSN,L,6.0,13.0,9.0,22-12,1.0,Tied,Rogers,Javier,None,3:27,N,22949.0,1.17,-1,
34,34,34,34,34,34,34,34,34,35,"Sunday, May 15",HOU,@,WSN,W,8.0,0.0,9.0,23-12,1.0,Tied,Verlander,Corbin,None,3:07,D,25915.0,1.17,1,
35,35,35,35,35,35,35,35,35,36,"Monday, May 16",HOU,@,BOS,L,3.0,6.0,9.0,23-13,1.0,Tied,Strahm,Neris,Robles,3:07,N,29706.0,1.2,-1,
