,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Los Angeles Dodgers,104,58,0.642,--
1,1,2,Arizona Diamondbacks,93,69,0.574,11.0
2,2,3,Colorado Rockies,87,75,0.537,17.0
3,3,4,San Diego Padres,71,91,0.438,33.0
4,4,5,San Francisco Giants,64,98,0.395,40.0
