,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,RAA,R,BRSB,BRCS,BsR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9166,2016,Buster Posey,SFG,C,0.7577639751552795,0.7530864197530864,0.7464411557434814,0.727866473149492,0.1362683438155136,0.1304347826086956,0.0,0.2142857142857142,0.0225563909774436,0.1333333333333333,0.0,0.0,,0.6184210526315789,0.6363636363636364,0.1111111111111111,0.4313725490196078,0.997,,0.6428571428571428,,,0.9230769230769232,,0.8571428571428571,,,,,,0.894736842105263,,,,,,,,,1.0,0.0,0.0594059405940594,0.214,0.8235294117647058,0.3329999999999999,0.5625000000000001,0.857,0.2333333333333333,1.0,0.15,1.0,0.0609523809523809,0.875,0.6842105263157894,,1.0,,,0.6666666666666667,0.0967741935483871,0.0555555555555555,0.2931034482758621
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11368,2016,Yasmani Grandal,LAD,C,0.7080745341614906,0.654320987654321,0.6653276955602537,0.7416545718432511,0.1153039832285115,0.217391304347826,0.1111111111111111,0.2142857142857142,0.0225563909774436,0.0666666666666666,0.0109890109890109,0.0075187969924812,,0.7763157894736842,0.5454545454545454,0.5555555555555556,0.8235294117647058,0.995,,0.4285714285714286,,,0.3846153846153847,,0.75,,,,,,0.5,,,,,,,,,0.9294117647058824,0.0,0.0693069306930693,0.087,0.676470588235294,0.367,0.625,1.0,0.1,0.667,0.2249999999999999,0.974,0.0742857142857142,1.0,0.5789473684210527,,0.9959016393442623,,,0.3983739837398374,0.0161290322580645,0.1666666666666666,0.1939655172413793
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8722,2016,Jason Castro,HOU,C,0.6832298136645962,0.6296296296296295,0.6329809725158563,0.627721335268505,0.1111111111111111,0.1739130434782608,0.0555555555555555,0.1428571428571428,0.0150375939849624,0.0666666666666666,0.0219780219780219,0.0225563909774436,,0.5921052631578947,0.3181818181818182,0.6666666666666666,0.9803921568627452,0.996,,0.4285714285714286,,,0.6153846153846154,,0.5178571428571428,,,,,,0.5789473684210527,,,,,,,,,0.7092436974789915,0.0,0.0297029702970297,0.063,0.4705882352941176,0.214,0.5833333333333335,0.5,0.2,1.0,0.15,1.0,0.0495238095238095,0.6666666666666666,0.4210526315789473,,0.7356557377049182,,,0.3333333333333333,0.032258064516129,0.0555555555555555,0.2931034482758621
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4922,2016,Ender Inciarte,ATL,CF,0.7391304347826086,0.7222222222222222,0.7286821705426356,0.2409288824383164,0.0251572327044025,0.1304347826086956,0.1111111111111111,0.0714285714285714,0.0,0.0666666666666666,0.0,0.0,,,,,,0.991,,,,0.6875,0.6153846153846154,0.6304347826086956,0.6964285714285714,0.6503856041131105,0.7475409836065574,0.901,0.7272727272727273,,0.7105263157894737,0.7619047619047619,,0.575091575091575,0.5147058823529411,0.6050420168067225,0.6420557365182773,,,0.6941176470588235,0.0,0.6237623762376238,0.1,0.2941176470588235,0.429,0.1458333333333333,0.875,0.2666666666666666,0.833,0.3,1.0,0.5904761904761905,,,,,0.925,0.9393939393939394,0.6910569105691058,0.2580645161290322,0.3888888888888888,0.6293103448275863
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10199,2016,Billy Hamilton,CIN,CF,0.7080745341614906,0.6666666666666666,0.6568710359408034,0.2002902757619738,0.0188679245283018,0.1304347826086956,0.0,0.2142857142857142,0.0,0.0666666666666666,0.0,0.0,,,,,,0.99,,,,0.625,0.8461538461538463,0.6956521739130435,0.7857142857142856,0.5809768637532133,0.7016393442622951,0.947,0.4335664335664335,,0.7105263157894737,0.5416666666666666,,0.8864468864468864,0.5147058823529411,0.7422969187675069,0.6626854867897214,,,0.6756302521008404,0.0,0.3663366336633663,0.5329999999999999,0.4411764705882352,0.7140000000000001,0.1458333333333333,0.3329999999999999,0.2,1.0,0.3,1.0,0.4742857142857143,,,,,1.0,1.0,0.5609756097560976,0.935483870967742,0.4444444444444444,1.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12916,2016,Francisco Lindor,CLE,SS,0.9565217391304348,0.9444444444444444,0.9543340380549684,0.1552975326560232,0.939203354297694,0.5217391304347826,0.3333333333333333,0.4285714285714285,0.5714285714285714,0.6333333333333333,0.4175824175824176,0.0526315789473684,,,,,,0.982,,,0.25,,0.3846153846153847,0.7391304347826086,0.625,0.8817480719794344,0.9475409836065574,0.843,0.7972027972027972,,0.894736842105263,,0.4626865671641791,0.9230769230769232,0.7647058823529411,0.8207282913165265,0.6605139341295694,,,0.6638655462184874,0.0,0.099009900990099,0.2689999999999999,0.7647058823529411,0.467,0.3125,0.6920000000000001,0.4333333333333333,0.893,0.7000000000000001,0.98,0.8647619047619047,,,,,0.825,0.7575757575757576,0.8048780487804879,0.3064516129032258,0.2777777777777778,0.4698275862068966
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11205,2016,Adam Eaton,CHW,RF,0.7453416149068323,0.6790123456790123,0.6836504580690628,0.2148040638606676,0.0314465408805031,0.1304347826086956,0.1666666666666666,0.0,0.0,0.0666666666666666,0.0,0.0,,,,,,0.99,,,,1.0,0.8461538461538463,0.7608695652173914,0.9464285714285714,0.5089974293059125,0.6229508196721312,0.96,0.7412587412587412,,0.6578947368421052,1.0,,0.8241758241758241,0.5588235294117647,0.9271708683473388,0.6793340571842201,,,0.6470588235294117,0.0,0.6633663366336634,0.0,0.2647058823529411,0.5,0.2083333333333333,1.0,0.1,0.947,0.475,1.0,0.5085714285714286,,,,,0.8500000000000001,0.8787878787878789,0.7398373983739838,0.2258064516129032,0.2777777777777778,0.6293103448275863
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14106,2016,Addison Russell,CHC,SS,0.9130434782608696,0.8703703703703703,0.8824524312896406,0.1103047895500725,0.8134171907756814,0.6086956521739131,0.2777777777777778,0.6428571428571428,0.4360902255639097,0.4666666666666667,0.2967032967032967,0.0451127819548872,,,,,,0.975,,,0.375,,0.5384615384615385,0.8043478260869565,0.7321428571428571,0.8406169665809768,0.9278688524590164,0.865,0.4755244755244755,,0.868421052631579,,0.3283582089552239,0.8534798534798536,0.6470588235294118,0.6974789915966386,0.642417661961636,,,0.6453781512605042,0.0,0.0594059405940594,0.2,0.4411764705882352,0.286,0.2916666666666667,0.444,0.3,0.895,0.475,0.966,0.7847619047619048,,,,,0.8500000000000001,0.7878787878787878,0.5447154471544716,0.0806451612903225,0.0555555555555555,0.4827586206896552
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11470,2016,Tony Wolters,COL,C,0.3602484472049689,0.3580246913580246,0.3460887949260042,0.3272859216255442,0.060796645702306,0.2608695652173913,0.1666666666666666,0.2142857142857142,0.0,0.0,0.0,0.0,,0.3552631578947368,0.2727272727272727,0.1666666666666666,0.5490196078431373,0.988,,0.6428571428571428,,,0.4615384615384616,,0.5357142857142857,,,,,,0.5526315789473684,,,,,,,,,0.6302521008403361,0.0,0.0891089108910891,0.0,0.2058823529411764,0.308,0.2708333333333333,0.6,0.1666666666666666,1.0,0.05,1.0,0.0209523809523809,0.5416666666666666,0.6842105263157894,,0.6495901639344264,,,0.2195121951219512,0.064516129032258,0.0555555555555555,0.521551724137931
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4616,2016,Russell Martin,TOR,C,0.7826086956521738,0.7345679012345678,0.7463706835799858,0.7177068214804064,0.1153039832285115,0.1739130434782608,0.0555555555555555,0.2142857142857142,0.0075187969924812,0.0,0.0109890109890109,0.0150375939849624,,0.8026315789473684,0.25,0.5,0.7647058823529411,0.996,,0.0714285714285714,,,0.6153846153846154,,0.6071428571428571,,,,,,0.6842105263157894,,,,,,,,,0.6302521008403361,0.0,0.099009900990099,0.125,0.7058823529411764,0.31,0.6041666666666666,0.3329999999999999,0.1,1.0,0.075,0.938,0.0609523809523809,0.875,0.7894736842105263,,0.7151639344262296,,,0.5040650406504066,0.032258064516129,0.0555555555555555,0.3577586206896552
