,Unnamed: 0,Name,Team,FLDPos,G,PA,H,HR,R,RBI,SB,BB,AVG,OBP,SLG,OPS,wRC+,wOBA,Bat,WAR,bWAR,aWAR,WPA
0,0,Aaron Judge,NYY,RF,147.78764575719833,629.6254804134369,166.79203695058823,29.713011980056763,96.92568457126616,89.49716091156006,22.47962057590485,67.19834172725677,0.2940616309642792,0.3872329890727997,0.8886216282844543,1.3306075930595398,232.17877075076103,0.564037211894989,23.196454334259037,3.9575173139572137,3.008197307586669,3.402773537635803,0.9120955169200896
1,1,Jose Altuve,HOU,2B,147.60720562934875,629.1935112476349,166.79433488845825,21.58168265223503,95.35674977302553,86.6778244972229,35.60215473175049,45.26347428560257,0.2940616309642792,0.3872329890727997,0.7626794576644897,1.2862228453159332,218.07600939273837,0.5295533685684204,23.119116079807284,3.9575135231018064,2.974237842559814,3.156246718168258,0.9120955169200896
2,2,Kris Bryant,CHC,3B,146.97111171483994,628.3495099544525,166.78017908334732,24.79866749048233,92.67413371801376,87.83019161224365,26.663661003112797,53.44378262758255,0.2940616309642792,0.3872329890727997,0.7350221872329712,1.262822538614273,211.38641718029976,0.5143765826225281,22.79788393378258,3.957100319862365,2.9374018096923824,2.8158509516716,0.9120955169200896
3,3,Giancarlo Stanton,MIA,RF,147.78516030311584,629.6390738487244,166.79296374320984,29.611984968185425,96.3774139881134,89.497727394104,10.749903917312622,66.79998898506165,0.2940616309642792,0.3872329890727997,0.8504260182380676,1.3117399513721466,226.39053627848625,0.5474083633422852,23.196068161726,3.9575135231018064,2.9782449340820305,3.1657820785045616,0.9120955169200896
4,4,Jose Ramirez,CLE,3B,146.87642455101013,628.8604936599731,166.7920242547989,22.497306764125824,93.53642970323564,87.99329924583435,26.66016519069672,46.40453225374222,0.2940616309642792,0.3872329890727997,0.7577475309371948,1.2714062333106997,215.15131747722623,0.5169970364570617,22.903147649765017,3.957463610172271,2.9538189411163325,2.966800435781478,0.9120955169200896
5,5,Mike Trout,LAA,CF,130.23768174648285,569.063230752945,148.880499958992,24.02403035759926,82.32352787256241,77.61528396606445,25.016772150993347,48.06772583723068,0.2940616309642792,0.3872329890727997,0.8274970054626465,1.329025715589523,220.77508208155632,0.5592700200080871,23.05922475457192,3.9569758534431454,2.921899681091308,2.7673354589939114,0.9120955169200896
6,6,Tommy Pham,STL,LF,142.44057995080948,596.5062620639801,154.96634083986282,19.0554358959198,82.02685487270355,70.10813927650452,34.86735463142395,42.62088006734848,0.2940616309642792,0.3872329890727997,0.7132374048233032,1.2418956756591797,203.19595110416407,0.5102047848701478,19.59013314247132,3.956124806404113,2.899136953353881,2.551390614509582,0.8512548553943632
7,7,Brian Dozier,MIN,2B,149.20261764526367,628.8233814239502,166.76095765829086,24.410623610019684,91.91084849834442,88.12995529174805,32.87561774253845,56.09450763463974,0.2940616309642792,0.3872329890727997,0.6729027032852173,1.1909432709217072,199.9817284047604,0.4786082139015197,14.4176805973053,3.953425717353821,2.886885967254638,2.437923839092254,0.9059367060661314
8,8,Joey Votto,CIN,1B,146.5841006040573,629.379935503006,166.79320496320724,27.4944671690464,94.4532408118248,89.48919868469238,6.773007363080978,67.19829380512238,0.2940616309642792,0.3872329890727997,0.7931740283966064,1.3175571262836456,230.53100031614304,0.5575093922615051,23.197710835933687,3.957510995864868,2.964182863235473,3.2104670727252955,0.9120955169200896
9,9,Nolan Arenado,COL,3B,148.25981485843658,629.5572543144226,166.7932557463646,27.0094633102417,94.996219933033,89.49216485023499,16.830947399139404,51.47000569105148,0.2940616309642792,0.3872329890727997,0.7681806683540344,1.2649886906147003,214.97689417004585,0.5144224414825439,23.12236684560776,3.9573871612548825,2.949164400100708,2.901879247426986,0.9120955169200896
