,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Milwaukee Brewers,95,67,0.586,--
1,1,2,St. Louis Cardinals,90,72,0.556,5.0
2,2,3,Cincinnati Reds,83,79,0.512,12.0
3,3,4,Chicago Cubs,71,91,0.438,24.0
4,4,5,Pittsburgh Pirates,61,101,0.377,34.0
