,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,New York Yankees,99,63,0.611,--
1,1,2,Toronto Blue Jays,92,70,0.568,7.0
2,2,3,Tampa Bay Rays,86,76,0.531,13.0
3,3,4,Baltimore Orioles,83,79,0.512,16.0
4,4,5,Boston Red Sox,78,84,0.481,21.0
