,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Cleveland Indians,91,71,0.562,--
1,1,2,Minnesota Twins,78,84,0.481,13.0
2,2,3,Detroit Tigers,64,98,0.395,27.0
3,3,4,Chicago White Sox,62,100,0.383,29.0
4,4,5,Kansas City Royals,58,104,0.358,33.0
