,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Chicago Cubs,92,70,0.568,--
1,1,2,Milwaukee Brewers,86,76,0.531,6.0
2,2,3,St. Louis Cardinals,83,79,0.512,9.0
3,3,4,Pittsburgh Pirates,75,87,0.463,17.0
4,4,5,Cincinnati Reds,68,94,0.42,24.0
