,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Kansas City Royals,95,67,0.586,--
1,1,2,Minnesota Twins,83,79,0.512,12.0
2,2,3,Cleveland Indians,81,80,0.503,13.5
3,3,4,Chicago White Sox,76,86,0.469,19.0
4,4,5,Detroit Tigers,74,87,0.46,20.5
