,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
0,0,0,0,0,0,Abreu,Jose,547989.0,White Sox,,1B,0.6666666666666666,0.7142857142857142,0.3846153846153846,0.7272727272727273,0.75,0.75,0.4,0.9230769230769232,0.6500000000000001,0.7592592592592592,,0.5641025641025634,0.5517241379310343,,,,,,,,,,,
1,1,1,1,1,1,Acuna Jr.,Ronald,660670.0,Braves,,RF,0.5555555555555556,0.5714285714285714,0.3846153846153846,0.4545454545454546,0.8333333333333333,0.5,0.4666666666666667,0.6153846153846154,0.1,0.4537037037037037,0.1914893617021276,0.3247863247863249,0.8275862068965516,0.9483946250625834,0.0,0.4166666666666666,0.474,0.3164556962025315,0.1923076923076923,0.8709677419354839,0.4952380952380952,0.4666666666666668,0.4117647058823529,0.3103448275862069
2,2,2,2,2,2,Adames,Willy,642715.0,Rays,,SS,0.4444444444444444,0.4761904761904761,0.4615384615384615,0.5454545454545455,0.5833333333333333,0.5,0.4,0.5384615384615385,0.2000000000000001,0.7685185185185185,,0.3418803418803415,0.7126436781609193,,,,,,,,,,,
3,3,3,3,3,3,Adams,Matt,571431.0,Braves,,1B,0.5,0.5238095238095237,0.4615384615384615,0.4545454545454546,0.6666666666666666,0.5,0.4666666666666667,0.5384615384615385,0.55,0.0555555555555555,,,0.3563218390804596,,,,,,,,,,,
4,4,4,4,4,4,Adell,Jo,666176.0,Angels,,LF,0.3333333333333333,0.3333333333333332,0.3846153846153846,0.1818181818181818,0.6666666666666666,0.25,0.4,0.3076923076923077,0.05,0.2314814814814815,0.1914893617021276,0.3931623931623931,0.8390804597701149,0.9706259993216726,0.0,0.2499999999999999,0.478,0.481012658227848,0.5000000000000001,0.6559139784946236,0.5238095238095238,0.5333333333333332,0.5294117647058824,0.3793103448275862
5,5,5,5,5,5,Adrianza,Ehire,501303.0,Twins,,SS,0.6111111111111112,0.6666666666666665,0.6923076923076923,0.3636363636363636,0.8333333333333333,0.5,0.5333333333333333,0.6923076923076924,0.5,0.1944444444444444,,,0.4827586206896548,,,,,,,,,,,
6,6,6,6,6,6,Aguilar,Jesus,542583.0,Marlins,,1B,0.2777777777777778,0.2857142857142856,0.3846153846153846,0.0,0.6666666666666666,0.25,0.3333333333333333,0.2307692307692308,0.5,0.4814814814814815,,0.8461538461538454,0.2873563218390802,,,,,,,,,,,
7,7,7,7,7,7,Ahmed,Nick,605113.0,D-backs,,SS,0.8333333333333333,0.9047619047619048,0.6153846153846154,0.7272727272727273,0.8333333333333333,0.75,1.0,0.5384615384615385,0.5,0.7314814814814814,0.0,0.4102564102564097,0.7011494252873565,,,,,,,,,,,
8,8,8,8,8,8,Akiyama,Shogo,673451.0,Reds,,CF,0.5555555555555556,0.5714285714285714,0.4615384615384615,0.6363636363636365,0.5833333333333333,0.5,0.5333333333333333,0.5384615384615385,0.6000000000000001,0.6296296296296297,,0.1623931623931622,0.6551724137931032,1.0,0.0,0.4999999999999999,0.632,0.4936708860759493,0.4230769230769231,0.8602150537634409,0.6285714285714286,0.6083333333333334,0.4117647058823529,0.4137931034482758
9,9,9,9,9,9,Alberto,Hanser,593643.0,Orioles,,2B,0.3888888888888889,0.3809523809523809,0.5384615384615385,0.2727272727272727,0.6666666666666666,0.0,0.1333333333333333,0.6923076923076924,0.3500000000000001,0.8333333333333333,,0.3675213675213675,0.5517241379310343,,,,,,,,,,,
10,10,10,10,10,10,Albies,Ozzie,645277.0,Braves,,2B,0.6111111111111112,0.6666666666666665,0.4615384615384615,0.5454545454545455,0.9166666666666666,0.5,0.5333333333333333,0.6923076923076924,0.1500000000000001,0.4629629629629629,0.1276595744680851,0.1196581196581196,0.7011494252873565,,,,,,,,,,,
11,11,11,11,11,11,Alcantara,Sergio,642727.0,Tigers,,SS,0.4444444444444444,0.4285714285714285,0.4615384615384615,0.4545454545454546,0.5833333333333333,0.5,0.3333333333333333,0.6153846153846154,0.1500000000000001,0.0185185185185185,,,0.5172413793103448,,,,,,,,,,,
12,12,12,12,12,12,Alfaro,Jorge,595751.0,Marlins,,LF,0.4444444444444444,0.4761904761904761,0.4615384615384615,0.4545454545454546,0.6666666666666666,0.25,0.4,0.5384615384615385,0.3500000000000001,0.2222222222222222,,0.3931623931623931,0.6896551724137931,,,,,,,,,,,
13,13,13,13,13,13,Alford,Anthony,546990.0,---,,LF,0.4444444444444444,0.4761904761904761,0.3846153846153846,0.4545454545454546,0.5833333333333333,0.5,0.4,0.4615384615384616,0.25,0.0648148148148148,0.0851063829787234,,0.8390804597701149,,,,,,,,,,,
14,14,14,14,14,14,Allen,Greg,656185.0,---,,CF,0.5555555555555556,0.5714285714285714,0.4615384615384615,0.5454545454545455,0.6666666666666666,0.5,0.5333333333333333,0.5384615384615385,,,,,,,,,,,,,,,,
15,15,15,15,15,15,Almonte,Abraham,501659.0,Padres,,LF,0.5,0.5238095238095237,0.4615384615384615,0.4545454545454546,0.6666666666666666,0.5,0.4666666666666667,0.5384615384615385,,,,,,,,,,,,,,,,
16,16,16,16,16,16,Almora Jr.,Albert,546991.0,Cubs,,CF,0.5,0.5238095238095237,0.4615384615384615,0.4545454545454546,0.5833333333333333,0.5,0.4,0.6153846153846154,0.3,0.0925925925925926,,,0.5747126436781609,0.4893970961125378,0.0,0.4166666666666666,0.444,0.4303797468354429,0.7500000000000002,0.8602150537634409,0.7142857142857143,0.8083333333333336,0.1176470588235294,0.1379310344827586
17,17,17,17,17,17,Alonso,Pete,624413.0,Mets,,1B,0.2777777777777778,0.2857142857142856,0.3076923076923077,0.4545454545454546,0.4166666666666666,0.5,0.4,0.2307692307692308,0.25,0.4629629629629629,,0.5726495726495724,0.4827586206896548,,,,,,,,,,,
18,18,18,18,18,18,Altuve,Jose,514888.0,Astros,,2B,0.2222222222222222,0.238095238095238,0.3846153846153846,0.5454545454545455,0.3333333333333333,0.0,0.4666666666666667,0.0,0.5,0.787037037037037,0.3404255319148936,0.2478632478632478,0.7356321839080455,,,,,,,,,,,
19,19,19,19,19,19,Alvarez,Eddy,657193.0,Marlins,,3B,0.4444444444444444,0.4761904761904761,0.3846153846153846,0.4545454545454546,0.6666666666666666,0.5,0.4,0.5384615384615385,0.5,0.0833333333333333,,,0.6091954022988504,,,,,,,,,,,
20,20,20,20,20,20,Anderson,Brian,605119.0,Marlins,,3B,0.6666666666666666,0.7142857142857142,0.6923076923076923,0.4545454545454546,0.75,0.75,0.6,0.7692307692307694,0.3500000000000001,0.6203703703703703,,0.5042735042735043,0.5057471264367814,,,,,,,,,,,
21,21,21,21,21,21,Anderson,Tim,641313.0,White Sox,,SS,0.6111111111111112,0.6666666666666665,0.7692307692307693,0.4545454545454546,0.5833333333333333,0.25,0.4666666666666667,0.7692307692307694,0.3500000000000001,0.8518518518518519,0.2765957446808511,0.1965811965811963,0.7701149425287355,,,,,,,,,,,
22,22,22,22,22,22,Andrus,Elvis,462101.0,Rangers,,SS,0.4444444444444444,0.4285714285714285,0.6153846153846154,0.5454545454545455,0.3333333333333333,0.5,0.2666666666666666,0.6153846153846154,0.55,0.3703703703703703,,0.4615384615384617,0.4942528735632181,,,,,,,,,,,
