,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
0,0,0,0,0,0,Abrams,CJ,682928.0,---,,SS,0.2702702702702703,0.2340425531914893,0.2727272727272727,0.4,0.2631578947368421,0.6,0.2058823529411764,0.4444444444444444,0.0454545454545454,0.3709198813056379,0.1769230769230769,0.1600000000000001,0.808988764044944,,,,,,,,,,,
1,1,1,1,1,1,Abreu,Jose,547989.0,White Sox,,1B,0.4594594594594595,0.4468085106382978,0.3636363636363636,0.52,0.631578947368421,0.5,0.4117647058823529,0.5185185185185185,0.6818181818181819,0.6765578635014837,,0.5120000000000005,0.4719101123595504,,,,,,,,,,,
2,2,2,2,2,2,Acuna Jr.,Ronald,660670.0,Braves,,RF,0.2972972972972973,0.2765957446808511,0.4545454545454546,0.36,0.368421052631579,0.4,0.2647058823529411,0.4074074074074074,0.1818181818181816,0.5163204747774481,0.1846153846153846,0.2079999999999997,0.7528089887640448,0.9035995519368698,0.0,0.1851851851851851,0.4081408140814081,0.5301204819277109,0.2567567567567567,0.976190476190476,0.4454545454545455,0.4736842105263157,0.3061224489795918,0.1911764705882352
3,3,3,3,3,3,Adames,Willy,642715.0,Brewers,,SS,0.6486486486486487,0.6382978723404256,0.8181818181818182,0.6799999999999999,0.3157894736842105,0.6,0.6176470588235294,0.5555555555555556,0.2727272727272727,0.4510385756676558,0.0,0.3200000000000003,0.6741573033707868,,,,,,,,,,,
4,4,4,4,4,4,Adams,Riley,656180.0,Nationals,,1B,0.4594594594594595,0.425531914893617,0.4545454545454546,0.44,0.5789473684210527,0.5,0.4117647058823529,0.4814814814814814,0.2727272727272727,0.115727002967359,,0.488,0.5505617977528088,,,,,,,,,,,
5,5,5,5,5,5,Adell,Jo,666176.0,Angels,,LF,0.3783783783783784,0.3617021276595745,0.5,0.32,0.5263157894736843,0.4,0.2647058823529411,0.5555555555555556,0.1363636363636362,0.2433234421364985,0.2,0.2399999999999997,0.898876404494382,0.9266129436744523,0.0,0.3333333333333333,0.5225522552255225,0.6144578313253012,0.1216216216216216,0.9047619047619048,0.3818181818181819,0.4436090225563911,0.3571428571428571,0.2794117647058823
6,6,6,6,6,6,Adrianza,Ehire,501303.0,---,,SS,0.4324324324324324,0.3829787234042553,0.5454545454545455,0.36,0.4736842105263158,0.5,0.4117647058823529,0.4074074074074074,0.5454545454545454,0.0979228486646884,,0.2880000000000002,0.5280898876404496,,,,,,,,,,,
7,7,7,7,7,7,Aguilar,Jesus,542583.0,---,,1B,0.4594594594594595,0.425531914893617,0.4090909090909091,0.48,0.631578947368421,0.4,0.3823529411764705,0.5185185185185185,0.5454545454545454,0.3412462908011869,,0.7999999999999998,0.2359550561797752,,,,,,,,,,,
8,8,8,8,8,8,Aguilar,Ryan,666922.0,Angels,,LF,0.4864864864864865,0.4468085106382978,0.4545454545454546,0.44,0.5789473684210527,0.5,0.4411764705882353,0.4814814814814814,,,,,,,,,,,,,,,,
9,9,9,9,9,9,Ahmed,Nick,605113.0,D-backs,,SS,0.5135135135135136,0.4680851063829787,0.5,0.48,0.5789473684210527,0.5,0.4411764705882353,0.5555555555555556,0.5454545454545454,0.0563798219584569,,0.3679999999999999,0.685393258426966,,,,,,,,,,,
10,10,10,10,10,10,Alberto,Hanser,593643.0,Dodgers,,2B,0.3783783783783784,0.3404255319148936,0.5,0.32,0.4736842105263158,0.5,0.3529411764705882,0.4074074074074074,0.4090909090909089,0.1899109792284866,,0.4160000000000003,0.4719101123595504,,,,,,,,,,,
11,11,11,11,11,11,Albies,Ozzie,645277.0,Braves,,2B,0.5405405405405406,0.5106382978723404,0.5454545454545455,0.48,0.6842105263157895,0.4,0.5,0.5185185185185185,0.2272727272727273,0.2462908011869436,0.0153846153846153,0.1520000000000001,0.6404494382022472,,,,,,,,,,,
12,12,12,12,12,12,Alcantara,Sergio,642727.0,---,,SS,0.4324324324324324,0.4042553191489362,0.5909090909090909,0.28,0.5263157894736843,0.6,0.5,0.3333333333333333,0.2272727272727273,0.2195845697329377,,0.3359999999999998,0.6516853932584272,,,,,,,,,,,
13,13,13,13,13,13,Alford,Anthony,546990.0,Pirates,,LF,0.4324324324324324,0.4042553191489362,0.4545454545454546,0.4,0.5789473684210527,0.5,0.3823529411764705,0.4814814814814814,,,,,,,,,,,,,,,,
