,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Houston Astros,107,55,0.66,--
1,1,2,Oakland Athletics,97,65,0.599,10.0
2,2,3,Texas Rangers,78,84,0.481,29.0
3,3,4,Los Angeles Angels,72,90,0.444,35.0
4,4,5,Seattle Mariners,68,94,0.42,39.0
