,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Minnesota Twins,36,24,0.6,--
1,1,2,Cleveland Indians,35,25,0.583,1.0
2,2,3,Chicago White Sox,35,25,0.583,1.0
3,3,4,Kansas City Royals,26,34,0.433,10.0
4,4,5,Detroit Tigers,23,35,0.397,12.0
