,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Washington Nationals,95,67,0.586,--
1,1,2,New York Mets,87,75,0.537,8.0
2,2,3,Miami Marlins,79,82,0.491,15.5
3,3,4,Philadelphia Phillies,71,91,0.438,24.0
4,4,5,Atlanta Braves,68,93,0.422,26.5
