,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Atlanta Braves,101,61,0.623,--
1,1,2,New York Mets,101,61,0.623,--
2,2,3,Philadelphia Phillies,87,75,0.537,14.0
3,3,4,Miami Marlins,69,93,0.426,32.0
4,4,5,Washington Nationals,55,107,0.34,46.0
