,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Boston Red Sox,93,69,0.574,--
1,1,2,New York Yankees,91,71,0.562,2.0
2,2,3,Tampa Bay Rays,80,82,0.494,13.0
3,3,4,Toronto Blue Jays,76,86,0.469,17.0
4,4,5,Baltimore Orioles,75,87,0.463,18.0
