,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Boston Red Sox,93,69,0.574,--
1,1,2,Baltimore Orioles,89,73,0.549,4.0
2,2,3,Toronto Blue Jays,89,73,0.549,4.0
3,3,4,New York Yankees,84,78,0.519,9.0
4,4,5,Tampa Bay Rays,68,94,0.42,25.0
