,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Atlanta Braves,97,65,0.599,--
1,1,2,Washington Nationals,93,69,0.574,4.0
2,2,3,New York Mets,86,76,0.531,11.0
3,3,4,Philadelphia Phillies,81,81,0.5,16.0
4,4,5,Miami Marlins,57,105,0.352,40.0
