,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Los Angeles Dodgers,92,71,0.564,--
1,1,2,Colorado Rockies,91,72,0.558,1.0
2,2,3,Arizona Diamondbacks,82,80,0.506,9.5
3,3,4,San Francisco Giants,73,89,0.451,18.5
4,4,5,San Diego Padres,66,96,0.407,25.5
