,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Houston Astros,101,61,0.623,--
1,1,2,Los Angeles Angels,80,82,0.494,21.0
2,2,3,Seattle Mariners,78,84,0.481,23.0
3,3,4,Texas Rangers,78,84,0.481,23.0
4,4,5,Oakland Athletics,75,87,0.463,26.0
