,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Texas Rangers,95,67,0.586,--
1,1,2,Seattle Mariners,86,76,0.531,9.0
2,2,3,Houston Astros,84,78,0.519,11.0
3,3,4,Los Angeles Angels,74,88,0.457,21.0
4,4,5,Oakland Athletics,69,93,0.426,26.0
