,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Chicago Cubs,103,58,0.64,--
1,1,2,St. Louis Cardinals,86,76,0.531,17.5
2,2,3,Pittsburgh Pirates,78,83,0.484,25.0
3,3,4,Milwaukee Brewers,73,89,0.451,30.5
4,4,5,Cincinnati Reds,68,94,0.42,35.5
