,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Minnesota Twins,101,61,0.623,--
1,1,2,Cleveland Indians,93,69,0.574,8.0
2,2,3,Chicago White Sox,72,89,0.447,28.5
3,3,4,Kansas City Royals,59,103,0.364,42.0
4,4,5,Detroit Tigers,47,114,0.292,53.5
