,Unnamed: 0,Name,Team,FLDPos,G,PA,H,HR,R,RBI,SB,BB,AVG,OBP,SLG,OPS,wRC+,wOBA,Bat,WAR,bWAR,aWAR,WPA
0,0,Mike Trout,LAA,CF,147.09946286678314,646.2210505604744,169.14387273788452,22.58605268597603,87.17563533782958,90.16980284452438,36.78684961795807,55.31009924411774,0.2940616309642792,0.3872329890727997,0.823740541934967,1.334506094455719,249.78141987323764,0.5658279122114181,23.5381160736084,3.9022608458995824,3.880666959881783,4.16093379497528,1.9517633438110356
1,1,Mookie Betts,BOS,RF,150.42851269245148,646.4836237430573,169.1467308998108,19.597758769989014,87.12637585401534,90.1716895699501,36.78665006160736,46.71747374534607,0.2940616309642792,0.3872329890727997,0.7397673726081848,1.251056671142578,233.62856352329257,0.5113401111960411,23.50051584243774,3.902258968353272,3.877635232806206,4.044179382324218,1.9517633438110356
2,2,Kris Bryant,CHC,3B,148.88681143522265,646.159005522728,169.14172267913818,22.24238029122353,86.2989499568939,90.16741669178008,26.440710186958317,48.99636697769165,0.2940616309642792,0.3872329890727997,0.7929701209068298,1.2927773594856262,234.07506120204928,0.5304395851492881,23.50532264709472,3.9022533357143407,3.8422463881969455,3.692959129810333,1.9517633438110356
3,3,Josh Donaldson,TOR,3B,148.63482093811035,646.2072775363922,169.14217329025269,22.481841325759888,86.45309937000273,90.1705400943756,14.401205778121948,54.05716395378113,0.2940616309642792,0.3872329890727997,0.7892490029335022,1.2976483404636383,237.80196470022204,0.5401974915862083,23.52462062835693,3.902213907241822,3.826277576386929,3.61105000257492,1.9517633438110356
4,4,Robinson Cano,SEA,2B,149.331112742424,646.300101518631,169.14411735534668,21.099115878343586,84.3200882077217,90.17398059368134,9.509338676929474,46.00905108451843,0.2940616309642792,0.3872329890727997,0.7334702014923096,1.2331630289554596,225.5168659090996,0.5031854501366615,23.454904270172115,3.901628112792969,3.786887405216694,3.2819917798042293,1.9517633438110356
5,5,Jose Altuve,HOU,2B,149.89719170331955,646.3939440846443,169.1469111442566,19.11026296019554,86.57254940271376,90.16952538490295,34.79026246070862,44.07754838466644,0.2940616309642792,0.3872329890727997,0.7531617283821106,1.2867869138717651,235.40297174453735,0.5261906924843788,23.511110019683837,3.9022395670413976,3.8202694401144974,3.636336393356322,1.9517633438110356
6,6,Brian Dozier,MIN,2B,149.68034303188324,645.9856691360474,169.13773155212402,20.967198491096497,84.70020514726637,90.14002746343613,23.95673805475235,46.57870352268219,0.2940616309642792,0.3872329890727997,0.7260664105415344,1.2189356982707975,218.55983853340152,0.491746456861496,18.27890062332153,3.901183134317399,3.764182105064392,3.1011848974227902,1.9517633438110356
7,7,Freddie Freeman,ATL,1B,149.03321331739426,646.2753455042839,169.14276552200317,22.75678652524948,85.78530675172804,90.17544716596603,17.816130459308624,56.13692653179169,0.2940616309642792,0.3872329890727997,0.824714720249176,1.300256609916687,238.0328689217568,0.5406190125346184,23.501688480377197,3.902188247442246,3.809744445383549,3.45031860589981,1.9517633438110356
8,8,Buster Posey,SFG,C,145.9519315958023,643.5039119124413,168.42204523086548,14.307196259498596,69.70488953590392,80.0623848438263,11.03333666920662,40.30061709880829,0.2940616309642792,0.3872329890727997,0.6217885613441467,1.1502408385276794,208.6188028454781,0.4712035660743713,13.9548487663269,3.799794381856919,3.7067018350958825,2.759555246829986,1.4402453422546388
9,9,Adam Eaton,CHW,RF,149.9343967437744,645.4224365949631,169.13486051559448,12.89457967877388,77.98544615507124,76.41161870956421,31.73718333244324,39.08734476566315,0.2940616309642792,0.3872329890727997,0.604637622833252,1.1392594277858734,204.95535451173785,0.4637642099261284,8.345186424255369,3.8983486652374273,3.7439676460623743,3.053396220207214,1.553023147583008
