,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
0,0,Chris Sale,BOS,0.40057957,0.8971998,0.76419693,0.615922,0.43071285,0.59526193,0.07789664,0.122608505,0.42244834,0.19192019,0.1008302,0.23206471,0.08068737,0.078504756,0.3704591,0.17228913,0.73422545,0.66609716,0.649741,0.5756756
1,1,Corey Kluber,CLE,0.41279253,0.83261627,0.75782305,0.615922,0.36560658,0.5751942,0.07406725,0.11326737,0.4224413,0.18753062,0.09726606,0.23206471,0.076969795,0.07681997,0.3704591,0.17377055,0.7374241,0.6664397,0.6500615,0.57567567
2,2,Max Scherzer,WSN,0.38770655,0.8445266,0.75652426,0.615922,0.4142429,0.57778275,0.08996411,0.12004352,0.39481035,0.16446482,0.09954503,0.23206471,0.07994774,0.08360239,0.3704591,0.1977621,0.72671753,0.66604376,0.64957714,0.5756756
3,3,Stephen Strasburg,WSN,0.41679922,0.73334056,0.6923725,0.6159217,0.38820726,0.49300605,0.09392588,0.09820604,0.33990029,0.19129671,0.10803564,0.23206471,0.08285638,0.082345344,0.3704591,0.23074077,0.69445324,0.66451114,0.64900744,0.5756756
4,4,Luis Severino,NYY,0.41869032,0.86107963,0.7486588,0.61592185,0.49086672,0.4859363,0.09429991,0.11770862,0.3561737,0.20735613,0.11124381,0.23206471,0.08726887,0.08770923,0.3704591,0.22043496,0.6643446,0.6603999,0.6489158,0.57567525
5,5,Carlos Carrasco,CLE,0.42402923,0.8734262,0.7641964,0.615922,0.5117049,0.48448336,0.08992866,0.123461716,0.36127788,0.22387724,0.113168426,0.23206471,0.087606154,0.089734115,0.3704591,0.22657004,0.6986701,0.6646446,0.64920807,0.5756753
6,6,Zack Greinke,ARI,0.42188162,0.8811613,0.7641949,0.6159219,0.51551807,0.439163,0.08888167,0.13683692,0.33323833,0.23182978,0.11596074,0.23206471,0.08882017,0.0917172,0.3704591,0.25345898,0.67283934,0.649722,0.6490423,0.5756744
7,7,Jimmy Nelson,MIL,0.4387289,0.7981046,0.70529485,0.61592156,0.47601995,0.46784478,0.10017226,0.109204985,0.30938128,0.25297737,0.12618493,0.23206471,0.09467106,0.08994556,0.3704591,0.23980133,0.62809664,0.59562546,0.5768187,0.5167735
8,8,Aaron Nola,PHI,0.40928927,0.7981899,0.67406666,0.61592,0.43990615,0.44966805,0.10232556,0.11856032,0.29923972,0.23501787,0.12362204,0.23206471,0.093790784,0.093079194,0.3704591,0.26511058,0.56864774,0.5697265,0.53073716,0.5312144
9,9,Chris Archer,TBR,0.4423815,0.89582926,0.76419646,0.615922,0.6694577,0.49240506,0.109948605,0.15281424,0.29883602,0.2728868,0.13432236,0.23206471,0.09954264,0.09833154,0.3704591,0.26513582,0.568359,0.53613985,0.5079936,0.34356824
10,10,James Paxton,SEA,0.43495438,0.51761705,0.54985374,0.59524727,0.38498238,0.4725988,0.10955032,0.09556873,0.293701,0.22486559,0.124795616,0.23206471,0.09181552,0.08383331,0.3704591,0.2498081,0.56527185,0.5766016,0.53630435,0.5635326
11,11,Clayton Kershaw,LAD,0.41186416,0.75282943,0.66595554,0.6159214,0.3405344,0.47862354,0.07827851,0.12796332,0.37593403,0.19892979,0.10508856,0.23206471,0.08411485,0.0856381,0.3704591,0.19801699,0.66571003,0.66410977,0.6488269,0.5756755
12,12,Justin Verlander,- - -,0.43221816,0.894092,0.7641982,0.615922,0.56603557,0.42921263,0.102275506,0.14014654,0.25696245,0.21406196,0.11643049,0.23206471,0.08832571,0.09778866,0.3704591,0.3132556,0.65199226,0.642476,0.6482217,0.5756752
13,13,Jacob deGrom,NYM,0.44605544,0.86394113,0.7641872,0.6159219,0.55849534,0.4774954,0.100968055,0.136493,0.29541627,0.23297091,0.11974412,0.23206471,0.09126638,0.09286564,0.3704591,0.25692704,0.6167215,0.584836,0.58444446,0.54537
14,14,Jose Quintana,- - -,0.43089268,0.8712735,0.76303035,0.6159218,0.6176313,0.44244033,0.11259409,0.14392275,0.2525206,0.26412672,0.13343103,0.23206471,0.10110723,0.10628458,0.3704591,0.3031196,0.5511182,0.54920727,0.47647282,0.41284847
15,15,Gio Gonzalez,WSN,0.44938174,0.85892826,0.76419353,0.61592185,0.58269846,0.3936567,0.12513569,0.12017909,0.20553288,0.20993556,0.1223962,0.23206471,0.090401724,0.10394745,0.3704591,0.3444899,0.6245619,0.64858705,0.6423376,0.5756751
