,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Boston Red Sox,108,54,0.667,--
1,1,2,New York Yankees,100,62,0.617,8.0
2,2,3,Tampa Bay Rays,90,72,0.556,18.0
3,3,4,Toronto Blue Jays,73,89,0.451,35.0
4,4,5,Baltimore Orioles,47,115,0.29,61.0
