,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Oakland Athletics,36,24,0.6,--
1,1,2,Houston Astros,29,31,0.483,7.0
2,2,3,Seattle Mariners,27,33,0.45,9.0
3,3,4,Los Angeles Angels,26,34,0.433,10.0
4,4,5,Texas Rangers,22,38,0.367,14.0
