,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Atlanta Braves,88,73,0.547,--
1,1,2,Philadelphia Phillies,82,80,0.506,6.5
2,2,3,New York Mets,77,85,0.475,11.5
3,3,4,Miami Marlins,67,95,0.414,21.5
4,4,5,Washington Nationals,65,97,0.401,23.5
