,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,St. Louis Cardinals,93,69,0.574,--
1,1,2,Milwaukee Brewers,86,76,0.531,7.0
2,2,3,Chicago Cubs,74,88,0.457,19.0
3,3,4,Cincinnati Reds,62,100,0.383,31.0
4,4,5,Pittsburgh Pirates,62,100,0.383,31.0
