,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Atlanta Braves,90,72,0.556,--
1,1,2,Washington Nationals,82,80,0.506,8.0
2,2,3,Philadelphia Phillies,80,82,0.494,10.0
3,3,4,New York Mets,77,85,0.475,13.0
4,4,5,Miami Marlins,63,98,0.391,26.5
