,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Tampa Bay Rays,100,62,0.617,--
1,1,2,Boston Red Sox,92,70,0.568,8.0
2,2,3,New York Yankees,92,70,0.568,8.0
3,3,4,Toronto Blue Jays,91,71,0.562,9.0
4,4,5,Baltimore Orioles,52,110,0.321,48.0
