,Unnamed: 0,Name,Team,FLDPos,G,PA,H,HR,R,RBI,SB,BB,AVG,OBP,SLG,OPS,wRC+,wOBA,Bat,WAR,bWAR,aWAR,WPA
0,0,Aaron Judge,NYY,RF,0.9117245,0.86826724,0.7830612,0.5036104,0.70748675,0.6780088,0.37466034,0.50148016,0.29406163,0.387233,0.4443108,0.44353586,0.41574314,0.4578224,0.60182476,0.552596,0.4877215,0.5159582,0.521017
1,1,Jose Altuve,HOU,2B,0.91060376,0.8676706,0.783072,0.36579123,0.69603467,0.6566502,0.59336925,0.33778712,0.29406163,0.387233,0.38133973,0.42874095,0.39809263,0.42983228,0.601025,0.5525956,0.48429817,0.4917889,0.521017
2,2,Kris Bryant,CHC,3B,0.90665287,0.86650485,0.78300554,0.4203164,0.67645353,0.66538024,0.44439435,0.3988342,0.29406163,0.387233,0.3675111,0.42094085,0.38972017,0.41751346,0.59770304,0.55255663,0.48058486,0.45841676,0.521017
3,3,Giancarlo Stanton,MIA,RF,0.9117091,0.868286,0.78306556,0.50189805,0.7034848,0.6780131,0.17916507,0.49850738,0.29406163,0.387233,0.425213,0.43724665,0.4084988,0.44432497,0.60182077,0.5525956,0.4847021,0.49272373,0.521017
4,4,Jose Ramirez,CLE,3B,0.90606475,0.8672106,0.78306115,0.38131028,0.68274766,0.6666159,0.4443361,0.34630248,0.29406163,0.387233,0.37887377,0.42380208,0.3944322,0.41964045,0.5987916,0.5525909,0.4822398,0.47321573,0.521017
5,5,Mike Trout,LAA,CF,0.8027185,0.7846177,0.6989695,0.40718696,0.60090166,0.5879946,0.4169462,0.35871437,0.29406163,0.387233,0.4137485,0.44300857,0.4014707,0.45395294,0.60040563,0.5525449,0.47902215,0.45366034,0.521017
6,6,Tommy Pham,STL,LF,0.8785129,0.82252246,0.7275415,0.3229735,0.59873617,0.53112227,0.5811226,0.31806627,0.29406163,0.387233,0.3566187,0.41396523,0.37946928,0.41412726,0.56453085,0.5524646,0.47672752,0.43248928,0.5143605
7,7,Brian Dozier,MIN,2B,0.92051315,0.86715937,0.7829153,0.41373938,0.6708821,0.6676512,0.54792696,0.41861573,0.29406163,0.387233,0.33645135,0.3969811,0.37544647,0.3884807,0.51104116,0.55221,0.47549254,0.42136508,0.5203432
8,8,Joey Votto,CIN,1B,0.9042491,0.8679281,0.7830667,0.46600792,0.6894397,0.6779485,0.112883456,0.5014798,0.29406163,0.387233,0.396587,0.4391857,0.41368085,0.45252386,0.60183775,0.5525954,0.48328456,0.49710461,0.521017
9,9,Nolan Arenado,COL,3B,0.91465724,0.868173,0.7830669,0.4577875,0.69340307,0.67797095,0.2805158,0.38410452,0.29406163,0.387233,0.38409033,0.4216629,0.39421389,0.41755068,0.6010586,0.5525837,0.4817706,0.4668509,0.521017
10,10,Francisco Lindor,CLE,SS,0.92226374,0.8678631,0.7830549,0.38801777,0.6838222,0.67513627,0.48040903,0.3748124,0.29406163,0.387233,0.3406274,0.39617118,0.37869176,0.3891521,0.52291816,0.55252457,0.47919214,0.4451489,0.5184652
11,11,Justin Turner,LAD,3B,0.86444026,0.8316655,0.73902756,0.3204809,0.5553434,0.5865757,0.17677672,0.32599944,0.29406163,0.387233,0.36055547,0.41633093,0.38278264,0.41583082,0.5804026,0.5515249,0.4741504,0.421448,0.51324797
12,12,Anthony Rendon,WSN,3B,0.8852756,0.8628773,0.7716099,0.36849174,0.61835504,0.6151073,0.20616531,0.3866093,0.29406163,0.387233,0.35842514,0.41474697,0.3869281,0.41463804,0.5875411,0.55246645,0.47737405,0.44086272,0.52100354
13,13,Marcell Ozuna,MIA,LF,0.9084977,0.8675769,0.78305995,0.4485912,0.6691611,0.67732626,0.1496212,0.38070855,0.29406163,0.387233,0.37535232,0.41558778,0.38809907,0.41459224,0.59451854,0.55229026,0.47754148,0.4314194,0.521017
14,14,Paul Goldschmidt,ARI,1B,0.9166851,0.86783934,0.7830544,0.46447846,0.6915109,0.6776621,0.5288303,0.45996487,0.29406163,0.387233,0.37833488,0.4261185,0.39391783,0.42009556,0.6004905,0.55256754,0.47911867,0.4552749,0.521017
15,15,Charlie Blackmon,COL,CF,0.92687213,0.8685425,0.7830772,0.46057355,0.70325214,0.6779887,0.5933417,0.4004841,0.29406163,0.387233,0.39732748,0.43381023,0.40043473,0.4304376,0.6014699,0.55258054,0.48113132,0.46438468,0.521017
