,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Washington Nationals,97,65,0.599,--
1,1,2,Miami Marlins,77,85,0.475,20.0
2,2,3,Atlanta Braves,72,90,0.444,25.0
3,3,4,New York Mets,70,92,0.432,27.0
4,4,5,Philadelphia Phillies,66,96,0.407,31.0
