,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Houston Astros,103,59,0.636,--
1,1,2,Oakland Athletics,97,65,0.599,6.0
2,2,3,Seattle Mariners,89,73,0.549,14.0
3,3,4,Los Angeles Angels,80,82,0.494,23.0
4,4,5,Texas Rangers,67,95,0.414,36.0
