,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,Tampa Bay Rays,40,20,0.667,--
1,1,2,New York Yankees,33,27,0.55,7.0
2,2,3,Toronto Blue Jays,32,28,0.533,8.0
3,3,4,Baltimore Orioles,25,35,0.417,15.0
4,4,5,Boston Red Sox,24,36,0.4,16.0
