,Unnamed: 0.1,Unnamed: 0,Tm,W,L,W-L%,GB
0,0,1,New York Mets,90,72,0.556,--
1,1,2,Washington Nationals,83,79,0.512,7.0
2,2,3,Miami Marlins,71,91,0.438,19.0
3,3,4,Atlanta Braves,67,95,0.414,23.0
4,4,5,Philadelphia Phillies,63,99,0.389,27.0
